"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000102003",1315.27907595527,-8.13210395305914,0.418338134888204,1.73281748622588e-83,5.72609538323341e-79
"ENSG00000173786",4059.56611565121,-4.66721131710644,0.24307883688815,2.41042777179525e-82,3.98262928594871e-78
"ENSG00000144285",894.223933080983,-9.01741049215332,0.587923842546296,2.47426163150972e-59,2.72539918710795e-55
"ENSG00000181409",728.831893652122,-6.35788232104028,0.39880528192248,4.85636506817762e-57,4.01196459194824e-53
"ENSG00000125814",2025.02870897588,-4.48339419781539,0.286490179474238,2.1217043060547e-55,1.40223437587155e-51
"ENSG00000078018",5047.08441671112,-5.87340440162592,0.375212431366588,3.65604698873559e-55,2.01356787904612e-51
"ENSG00000183773",176.420785283932,-5.60940969254058,0.36922805551246,3.43145300050522e-52,1.61989092002421e-48
"ENSG00000175874",739.093267867743,-9.64623937465071,0.662085020669012,2.75800591259163e-47,1.13922881726988e-43
"ENSG00000172005",203.262524243253,-2.54719087048069,0.513582402925759,1.4112266836854e-39,5.18155397359824e-36
"ENSG00000105290",1480.00451477538,-7.46264449000154,0.671934079992163,2.89194961769968e-39,9.5564475116886e-36
"ENSG00000111674",1434.94539944417,-6.2833103234853,0.491295723452018,2.71263297900994e-37,8.14899607194394e-34
"ENSG00000165023",858.583037295991,-9.44053545521854,0.737158615869314,1.00118809573057e-36,2.75702171861805e-33
"ENSG00000020129",1442.76774271916,-4.78983902354826,0.395109004395691,5.75877470229493e-34,1.39808166552185e-30
"ENSG00000185985",174.02465881737,-6.22095719719964,0.511647666723276,5.9231784891227e-34,1.39808166552185e-30
"ENSG00000203879",1921.57926278122,-3.15158238702977,0.26140373957598,6.66476518080524e-34,1.4682477693314e-30
"ENSG00000136267",455.187376518931,-7.15410948557998,0.588847877208374,1.14886004802772e-33,2.37275501794224e-30
"ENSG00000013293",418.844228829499,-7.72738431652283,0.639160506072929,3.77305098951711e-33,7.3341452910937e-30
"ENSG00000213760",241.715075835484,-6.50427638273743,0.545133933299503,1.04465907441957e-32,1.9178199507886e-29
"ENSG00000067840",958.551740841184,-5.44962172007873,0.458027031403727,1.14006667492635e-32,1.98281596173375e-29
"ENSG00000106089",295.829711590049,-5.33150555364328,0.45046557909257,2.25346980374403e-32,3.72329548323608e-29
"ENSG00000235903",157.015237180014,-5.25102725470674,0.445102839376498,3.17316910316211e-32,4.99320823876152e-29
