gene_id,Testis_1,Testis_2,Testis_3,Skeletal_muscle_1,Skeletal_muscle_2,Skeletal_muscle_3,Liver_1,Liver_2,Liver_3,Brain_1,Brain_2,Brain_3,Breast_1,Breast_2,Breast_3,Prostate_1,Prostate_2,Prostate_3,Ovary_1,Ovary_2,Ovary_3
ENSG00000000003,8.39,10.12,8.28,0.27,0.69,1.34,4.96,4.18,5.91,0.53,0.86,0.8,4.16,1.61,1.33,4.85,6.3,2.33,2.09,2.82,1.54
ENSG00000000419,5.86,7.68,7.05,4.3,4.92,4.64,2.18,2.51,1.94,2.41,3.81,1.9,4.23,1.75,2.26,2.78,6.52,1.88,1.05,1.64,0.96
ENSG00000000971,2.13,2.84,2.83,1.45,4.11,3.76,82.48,92.46,87.92,1.33,1.07,0.97,9.72,3.47,7.61,0.94,2.42,1.13,5.48,9.02,3.87
ENSG00000001036,2.38,2.19,1.34,0.5,0.98,0.81,2.15,2.13,2.08,0.69,1.54,1.27,3.99,1.22,2.58,2.75,4.88,1.69,0.62,0.77,0.62
ENSG00000001084,1.52,1.83,1.85,0.76,1.3,1.14,4.69,4.95,4.11,2.55,4.31,3.76,3.3,1.02,1.45,2.46,5.97,2.0,0.27,0.54,0.33
ENSG00000001167,5.28,5.7,4.82,0.7,1.82,0.54,0.57,0.68,0.52,1.32,1.91,2.02,1.07,0.8,0.73,1.39,2.32,1.01,0.88,0.77,0.55
ENSG00000001460,3.81,5.24,3.69,0.09,0.26,0.12,0.03,0.05,0.03,0.91,1.1,0.63,0.3,0.21,0.17,0.51,0.85,0.44,0.13,0.13,0.07
ENSG00000001461,2.79,2.42,1.87,0.67,1.71,0.95,0.58,0.52,0.69,16.82,29.58,22.91,2.92,2.74,1.29,40.17,68.57,24.17,0.73,1.01,0.51
ENSG00000001497,5.05,6.08,3.57,1.07,1.26,0.76,1.07,0.89,0.66,2.1,2.3,3.28,1.75,1.45,0.92,1.83,2.9,1.36,1.11,0.88,0.59
ENSG00000001561,1.67,1.55,2.06,1.91,2.94,2.53,0.37,0.34,0.36,2.2,4.3,2.86,1.77,0.47,0.93,1.72,3.85,0.44,0.08,0.13,0.04
ENSG00000001629,5.65,6.22,5.34,0.98,1.89,1.27,0.76,0.84,0.73,3.61,7.03,5.87,3.23,1.5,1.58,1.58,3.2,1.19,0.83,1.02,0.63
ENSG00000001630,2.31,2.53,1.87,0.1,0.25,0.23,1.01,1.01,0.75,0.57,1.03,0.6,0.26,0.21,0.25,1.2,2.92,0.52,0.11,0.12,0.22
ENSG00000001631,3.74,5.05,3.9,0.88,1.59,0.98,0.74,0.78,0.76,1.57,2.25,1.63,2.33,1.41,1.17,1.48,2.39,0.87,0.89,0.96,0.58
ENSG00000002016,1.06,0.96,0.83,0.97,1.89,0.65,0.31,0.4,0.27,1.12,0.95,1.38,0.82,0.59,0.61,0.81,1.29,0.7,0.48,0.48,0.33
ENSG00000002330,6.26,5.21,5.14,2.18,2.23,3.64,2.12,1.41,1.45,3.42,6.11,4.04,3.95,1.92,2.5,3.99,8.51,3.03,0.97,0.88,0.85
ENSG00000002549,8.48,11.61,5.19,3.84,6.52,1.97,7.29,7.88,7.23,2.29,3.66,3.73,6.88,3.11,5.77,3.63,6.95,2.93,0.58,1.96,0.48
ENSG00000002586,14.72,14.48,12.39,7.19,14.88,6.97,6.29,5.45,5.66,1.91,4.54,3.44,15.95,3.4,12.65,9.53,20.41,9.2,3.75,5.09,3.62
ENSG00000002822,5.07,4.0,1.92,1.83,1.67,0.71,0.74,0.54,0.35,1.22,1.78,1.74,1.42,0.81,1.01,0.95,1.49,0.82,0.48,0.49,0.39
