,x,y,frel
0,ENSG00000142937,ENSG00000237550,1.0
1,ENSG00000105640,ENSG00000213442,1.0
2,ENSG00000104408,ENSG00000171863,1.0
3,ENSG00000147403,ENSG00000178464,1.0
4,ENSG00000143479,ENSG00000163923,1.0
5,ENSG00000116251,ENSG00000186468,1.0
6,ENSG00000109475,ENSG00000244398,1.0
7,ENSG00000145425,ENSG00000234797,1.0
8,ENSG00000105193,ENSG00000138100,1.0
9,ENSG00000105640,ENSG00000171858,1.0
10,ENSG00000100316,ENSG00000232573,1.0
11,ENSG00000109475,ENSG00000182774,1.0
12,ENSG00000142541,ENSG00000236552,1.0
13,ENSG00000079387,ENSG00000163923,1.0
14,ENSG00000089157,ENSG00000140988,1.0
15,ENSG00000143947,ENSG00000198034,1.0
16,ENSG00000122026,ENSG00000136149,1.0
17,ENSG00000125691,ENSG00000142937,1.0
18,ENSG00000110700,ENSG00000118181,1.0
19,ENSG00000063177,ENSG00000130255,1.0
20,ENSG00000142534,ENSG00000233762,1.0
21,ENSG00000114391,ENSG00000118181,1.0
22,ENSG00000144713,ENSG00000147604,1.0
23,ENSG00000089157,ENSG00000162244,1.0
24,ENSG00000241343,ENSG00000244398,1.0
25,ENSG00000145425,ENSG00000163682,1.0
26,ENSG00000124614,ENSG00000161016,1.0
27,ENSG00000164587,ENSG00000204628,1.0
28,ENSG00000137154,ENSG00000182899,1.0
29,ENSG00000112306,ENSG00000137154,0.999625
30,ENSG00000147403,ENSG00000256393,0.99957374254
31,ENSG00000112306,ENSG00000145741,0.999567474048
32,ENSG00000108107,ENSG00000175029,0.999144568007
33,ENSG00000144713,ENSG00000145741,0.999134948097
34,ENSG00000108298,ENSG00000149806,0.99675
35,ENSG00000144713,ENSG00000278274,0.996129032258
36,ENSG00000147140,ENSG00000165502,0.992756710695
37,ENSG00000147403,ENSG00000269242,0.985426489498
38,ENSG00000051620,ENSG00000185088,0.982433590403
39,ENSG00000142534,ENSG00000236552,0.976303317536
40,ENSG00000137876,ENSG00000174748,0.969117007395
41,ENSG00000143947,ENSG00000198242,0.960875
42,ENSG00000114391,ENSG00000138326,0.95975
43,ENSG00000129824,ENSG00000183878,0.946482520501
44,ENSG00000138326,ENSG00000147604,0.942625
45,ENSG00000110700,ENSG00000131469,0.94
46,ENSG00000197756,ENSG00000219747,0.922457627119
47,ENSG00000231500,ENSG00000233927,0.915125
48,ENSG00000146223,ENSG00000159377,0.892979452055
49,ENSG00000136942,ENSG00000174444,0.889
50,ENSG00000142676,ENSG00000161970,0.8875
51,ENSG00000136942,ENSG00000164142,0.878216123499
52,ENSG00000089009,ENSG00000116251,0.868125
53,ENSG00000163159,ENSG00000172809,0.867320819113
54,ENSG00000123975,ENSG00000163923,0.864450127877
55,ENSG00000100316,ENSG00000108107,0.854625
56,ENSG00000100316,ENSG00000260260,0.854148845167
57,ENSG00000125691,ENSG00000242299,0.852073535699
58,ENSG00000198034,ENSG00000214485,0.849280270957
59,ENSG00000105372,ENSG00000201078,0.847948164147
60,ENSG00000215021,ENSG00000229117,0.841967784066
61,ENSG00000174748,ENSG00000213280,0.83262350937
62,cluster_165,ENSG00000233927,0.821307300509
63,ENSG00000131469,ENSG00000189343,0.812925170068
64,ENSG00000037241,ENSG00000180425,0.804421768707
65,ENSG00000100129,ENSG00000149806,0.795191069128
66,ENSG00000037241,ENSG00000183684,0.793698748382
67,ENSG00000089009,ENSG00000125691,0.78775
68,ENSG00000198242,ENSG00000226221,0.785376344086
69,ENSG00000140988,ENSG00000167526,0.78
70,ENSG00000105372,ENSG00000130255,0.779875
71,ENSG00000136942,ENSG00000172809,0.77825
72,ENSG00000168610,ENSG00000185088,0.778111587983
73,ENSG00000008988,ENSG00000171863,0.776625
74,ENSG00000233016,ENSG00000265681,0.775949367089
75,ENSG00000008988,ENSG00000169756,0.767451820128
76,ENSG00000197728,ENSG00000264281,0.765618267988
77,ENSG00000142534,ENSG00000213741,0.76475
78,ENSG00000132676,ENSG00000185627,0.760223848472
79,ENSG00000198918,ENSG00000234797,0.749892749893
80,ENSG00000176046,ENSG00000185088,0.747732181425
81,ENSG00000089157,ENSG00000213553,0.740899357602
82,ENSG00000168264,ENSG00000177600,0.736051502146
83,ENSG00000100316,ENSG00000252481,0.719761499148
84,ENSG00000129824,ENSG00000141232,0.712153518124
85,ENSG00000109475,ENSG00000241343,0.707875
86,ENSG00000165502,ENSG00000196531,0.7050789586
87,ENSG00000204628,ENSG00000233927,0.701530612245
88,ENSG00000233927,ENSG00000256393,0.700767263427
89,ENSG00000037241,ENSG00000133193,0.699872827469
90,ENSG00000137054,ENSG00000221983,0.698371893745
91,ENSG00000233927,ENSG00000252010,0.696956708101
92,ENSG00000129824,ENSG00000176728,0.694741342454
93,ENSG00000149273,ENSG00000231500,0.69175
94,ENSG00000134419,ENSG00000283041,0.689802913453
95,ENSG00000143450,ENSG00000163923,0.689596602972
96,ENSG00000144857,ENSG00000177600,0.68841832325
97,ENSG00000174748,ENSG00000212802,0.68675721562
98,ENSG00000137818,ENSG00000184489,0.68285472973
99,ENSG00000111144,ENSG00000148303,0.681739879414
100,ENSG00000156482,ENSG00000177954,0.68025
101,ENSG00000122406,ENSG00000171863,0.666125
102,ENSG00000140988,ENSG00000163597,0.662098501071
103,ENSG00000105373,ENSG00000167526,0.659583694709
104,ENSG00000063177,ENSG00000269893,0.658838599488
105,ENSG00000146223,ENSG00000183978,0.658282740676
106,ENSG00000142541,ENSG00000198755,0.6535
107,ENSG00000172809,ENSG00000221983,0.6515
108,ENSG00000105373,ENSG00000108298,0.648308759757
109,ENSG00000126756,ENSG00000185088,0.645023494233
110,ENSG00000118197,ENSG00000149806,0.636209094773
111,ENSG00000122026,ENSG00000220842,0.635622317597
112,ENSG00000165502,ENSG00000182004,0.634239592184
113,ENSG00000138463,ENSG00000174748,0.633418584825
114,ENSG00000177954,ENSG00000218426,0.628375482212
115,ENSG00000163923,ENSG00000196436,0.615979381443
116,ENSG00000124614,ENSG00000148303,0.614625
117,ENSG00000138326,ENSG00000227008,0.611584327087
118,ENSG00000100462,ENSG00000132676,0.611563169165
119,ENSG00000147677,ENSG00000221983,0.606459838504
120,ENSG00000084623,ENSG00000170889,0.602521008403
121,ENSG00000125656,ENSG00000132676,0.602306706536
122,ENSG00000037241,ENSG00000055147,0.601970865467
123,ENSG00000177600,ENSG00000189184,0.599156118143
124,ENSG00000124614,ENSG00000168028,0.592875
125,ENSG00000008988,ENSG00000140612,0.592386655261
126,ENSG00000142937,ENSG00000177954,0.584125
127,ENSG00000063177,ENSG00000111678,0.583333333333
128,ENSG00000229117,ENSG00000279483,0.574137931034
129,ENSG00000185088,ENSG00000229152,0.561661618347
130,ENSG00000089009,ENSG00000198918,0.55575
131,ENSG00000131981,ENSG00000177600,0.554738208568
132,ENSG00000136149,ENSG00000156482,0.544429995665
133,ENSG00000121940,ENSG00000146223,0.543664383562
134,ENSG00000072415,ENSG00000146223,0.540563991323
135,ENSG00000142676,ENSG00000198034,0.539
136,ENSG00000233927,ENSG00000264281,0.536837570013
137,ENSG00000171858,ENSG00000174444,0.527
138,ENSG00000142541,ENSG00000234287,0.526041666667
139,ENSG00000070010,ENSG00000132676,0.525724167748
140,ENSG00000140988,ENSG00000240342,0.525706940874
141,ENSG00000008988,ENSG00000226396,0.523320496363
142,ENSG00000116251,ENSG00000226221,0.520430107527
143,ENSG00000071082,ENSG00000149273,0.519125
144,ENSG00000063177,ENSG00000206597,0.507494646681
145,ENSG00000146223,ENSG00000178425,0.501290877797
146,ENSG00000143947,ENSG00000260260,0.5
147,ENSG00000167526,ENSG00000170889,0.499
148,ENSG00000122026,ENSG00000156482,0.4985
149,ENSG00000135390,ENSG00000149806,0.496569468268
150,ENSG00000100316,ENSG00000119888,0.49529109589
151,ENSG00000146223,ENSG00000253797,0.493356193742
152,ENSG00000136942,ENSG00000138768,0.490443092963
153,ENSG00000008988,ENSG00000223803,0.486451612903
154,ENSG00000130741,ENSG00000198034,0.477146518582
155,ENSG00000083845,ENSG00000213553,0.474946466809
156,ENSG00000122026,ENSG00000213860,0.471422432316
