,x,y,frel
0,ENSG00000206612,ENSG00000261175,1.0
1,ENSG00000235284,ENSG00000278261,1.0
2,ENSG00000206620,ENSG00000207241,1.0
3,ENSG00000100316,ENSG00000232573,1.0
4,ENSG00000228290,ENSG00000265185,1.0
5,ENSG00000207263,ENSG00000207375,1.0
6,ENSG00000168528,ENSG00000238795,1.0
7,ENSG00000209480,ENSG00000209482,1.0
8,ENSG00000201998,ENSG00000275143,1.0
9,ENSG00000109475,ENSG00000182774,1.0
10,ENSG00000206838,ENSG00000207304,1.0
11,ENSG00000207274,ENSG00000275221,1.0
12,ENSG00000221475,ENSG00000221750,1.0
13,ENSG00000200163,trna.id.1.31236,1.0
14,ENSG00000202529,ENSG00000238942,1.0
15,ENSG00000238835,ENSG00000252947,1.0
16,ENSG00000207067,ENSG00000207313,1.0
17,cluster_14,ENSG00000212195,1.0
18,ENSG00000207067,ENSG00000265706,1.0
19,ENSG00000199410,ENSG00000207008,1.0
20,ENSG00000206621,ENSG00000207245,1.0
21,ENSG00000142534,ENSG00000233762,1.0
22,ENSG00000186340,ENSG00000207468,1.0
23,ENSG00000142541,ENSG00000236552,1.0
24,ENSG00000199666,ENSG00000280959,1.0
25,ENSG00000206622,ENSG00000222370,1.0
26,ENSG00000207500,ENSG00000212447,1.0
27,ENSG00000130844,ENSG00000200969,1.0
28,ENSG00000199311,ENSG00000200593,1.0
29,ENSG00000200564,ENSG00000272460,1.0
30,ENSG00000124614,ENSG00000161016,1.0
31,ENSG00000202188,ENSG00000202261,1.0
32,ENSG00000220988,ENSG00000221241,1.0
33,ENSG00000221740,ENSG00000265706,1.0
34,ENSG00000199833,ENSG00000200680,1.0
35,ENSG00000238804,ENSG00000239128,1.0
36,ENSG00000105193,ENSG00000138100,1.0
37,ENSG00000252947,ENSG00000275143,1.0
38,ENSG00000198300,ENSG00000272344,1.0
39,ENSG00000202252,NR_003940,1.0
40,ENSG00000206611,ENSG00000209645,1.0
41,ENSG00000212309,ENSG00000252542,1.0
42,ENSG00000116251,ENSG00000186468,1.0
43,ENSG00000207468,ENSG00000221420,1.0
44,ENSG00000200084,NR_002750,1.0
45,ENSG00000201302,ENSG00000277184,1.0
46,ENSG00000201512,ENSG00000239183,1.0
47,ENSG00000221643,ENSG00000277864,1.0
48,ENSG00000200913,ENSG00000238363,1.0
49,ENSG00000206634,ENSG00000252835,1.0
50,ENSG00000206611,ENSG00000275043,1.0
51,ENSG00000199293,ENSG00000206612,1.0
52,ENSG00000206609,ENSG00000276314,1.0
53,ENSG00000221750,ENSG00000271907,1.0
54,ENSG00000109475,ENSG00000244398,1.0
55,ENSG00000120899,ENSG00000239014,1.0
56,ENSG00000200792,ENSG00000252577,1.0
57,ENSG00000114391,ENSG00000118181,1.0
58,ENSG00000204348,ENSG00000270141,1.0
59,ENSG00000238311,ENSG00000238804,1.0
60,ENSG00000200785,ENSG00000272533,1.0
61,ENSG00000206587,ENSG00000212447,1.0
62,ENSG00000089157,ENSG00000140988,1.0
63,ENSG00000141448,ENSG00000212296,1.0
64,cluster_590,ENSG00000226572,1.0
65,ENSG00000202314,ENSG00000207241,1.0
66,ENSG00000201823,ENSG00000206775,1.0
67,ENSG00000202503,ENSG00000239112,1.0
68,ENSG00000207445,ENSG00000212283,1.0
69,ENSG00000238649,ENSG00000274091,1.0
70,ENSG00000125691,ENSG00000142937,1.0
71,cluster_845,ENSG00000238793,1.0
72,ENSG00000223224,NR_003940,1.0
73,ENSG00000110700,ENSG00000118181,1.0
74,ENSG00000201700,trna.id.6.82440,1.0
75,ENSG00000200632,ENSG00000201247,1.0
76,ENSG00000206621,ENSG00000207460,1.0
77,ENSG00000147403,ENSG00000178464,1.0
78,ENSG00000200478,ENSG00000200503,1.0
79,ENSG00000105640,ENSG00000171858,1.0
80,ENSG00000201143,ENSG00000201679,1.0
81,ENSG00000201569,ENSG00000275662,1.0
82,ENSG00000206680,ENSG00000222365,1.0
83,ENSG00000153234,ENSG00000200367,1.0
84,ENSG00000201569,ENSG00000201839,1.0
85,ENSG00000241343,ENSG00000244398,1.0
86,ENSG00000202031,ENSG00000272296,1.0
87,ENSG00000276788,NR_003939,1.0
88,ENSG00000200757,ENSG00000272460,1.0
89,ENSG00000207405,ENSG00000207475,1.0
90,ENSG00000200913,ENSG00000221705,1.0
91,ENSG00000164587,ENSG00000204628,1.0
92,ENSG00000277512,trna.id.1.91449,1.0
93,ENSG00000202293,ENSG00000275662,1.0
