,gene_of_interest,len_target_list,target_list,len_ensg_target_list,ensg_target_list,target_std_name_to_ensg_map
0,ENSG00000199266,3,"['U11.1-97', 'GAS5', 'SCARNA11']",2,"['ENSG00000234741', 'ENSG00000251898']","{'U11-1': [], 'GAS5': ['ENSG00000234741'], 'SCARNA11': ['ENSG00000251898']}"
1,ENSG00000199293,2,"['SNORD117', 'SNORD62A']",9,"['ENSG00000265849', 'ENSG00000265116', 'ENSG00000263358', 'ENSG00000266419', 'ENSG00000263359', 'ENSG00000263625', 'ENSG00000266295', 'ENSG00000201785', 'ENSG00000235284']","{'SNORD117': ['ENSG00000265849', 'ENSG00000265116', 'ENSG00000263358', 'ENSG00000266419', 'ENSG00000263359', 'ENSG00000263625', 'ENSG00000266295', 'ENSG00000201785'], 'SNORD62A': ['ENSG00000235284']}"
2,ENSG00000199311,1,['HTR2C'],1,['ENSG00000147246'],{'HTR2C': ['ENSG00000147246']}
3,ENSG00000199363,1,['U2.2-6'],0,[],{'U2-2': []}
4,ENSG00000199436,3,"['U6', 'U6-53', 'U6.1-53']",119,"['ENSG00000277551', 'ENSG00000276552', 'ENSG00000278793', 'ENSG00000275021', 'ENSG00000278230', 'ENSG00000273752', 'ENSG00000278625', 'ENSG00000275168', 'ENSG00000274708', 'ENSG00000273929', 'ENSG00000278190', 'ENSG00000278411', 'ENSG00000278140', 'ENSG00000278747', 'ENSG00000274597', 'ENSG00000275671', 'ENSG00000277567', 'ENSG00000252379', 'ENSG00000278063', 'ENSG00000277091', 'ENSG00000275782', 'ENSG00000274623', 'ENSG00000262579', 'ENSG00000277642', 'ENSG00000273501', 'ENSG00000278036', 'ENSG00000273519', 'ENSG00000252239', 'ENSG00000274771', 'ENSG00000275304', 'ENSG00000275752', 'ENSG00000277419', 'ENSG00000277660', 'ENSG00000278296', 'ENSG00000276847', 'ENSG00000277262', 'ENSG00000261867', 'ENSG00000275809', 'ENSG00000273624', 'ENSG00000278101', 'ENSG00000278379', 'ENSG00000274323', 'ENSG00000277139', 'ENSG00000275889', 'ENSG00000276339', 'ENSG00000264025', 'ENSG00000266231', 'ENSG00000266435', 'ENSG00000275299', 'ENSG00000273938', 'ENSG00000251771', 'ENSG00000278515', 'ENSG00000277891', 'ENSG00000277546', 'ENSG00000264777', 'ENSG00000263701', 'ENSG00000263367', 'ENSG00000266660', 'ENSG00000266870', 'ENSG00000266626', 'ENSG00000266784', 'ENSG00000263638', 'ENSG00000265048', 'ENSG00000283300', 'ENSG00000263467', 'ENSG00000263896', 'ENSG00000265351', 'ENSG00000263937', 'ENSG00000265921', 'ENSG00000265409', 'ENSG00000263869', 'ENSG00000263598', 'ENSG00000263474', 'ENSG00000264185', 'ENSG00000264557', 'ENSG00000264951', 'ENSG00000265795', 'ENSG00000266886', 'ENSG00000264556', 'ENSG00000265920', 'ENSG00000266375', 'ENSG00000276183', 'ENSG00000288521', 'ENSG00000285386', 'ENSG00000277890', 'ENSG00000277927', 'ENSG00000276138', 'ENSG00000278188', 'ENSG00000277717', 'ENSG00000283527', 'ENSG00000283290', 'ENSG00000283564', 'ENSG00000274385', 'ENSG00000275174', 'ENSG00000283372', 'ENSG00000283249', 'ENSG00000283412', 'ENSG00000283489', 'ENSG00000283271', 'ENSG00000283666', 'ENSG00000283432', 'ENSG00000283499', 'ENSG00000283313', 'ENSG00000275068', 'ENSG00000283502', 'ENSG00000283418', 'ENSG00000278757', 'ENSG00000283414', 'ENSG00000283575', 'ENSG00000283369', 'ENSG00000283337', 'ENSG00000283136', 'ENSG00000283545', 'ENSG00000277613', 'ENSG00000283262', 'ENSG00000283256', 'ENSG00000283509', 'ENSG00000206625', 'ENSG00000199226']","{'U6': ['ENSG00000277551', 'ENSG00000276552', 'ENSG00000278793', 'ENSG00000275021', 'ENSG00000278230', 'ENSG00000273752', 'ENSG00000278625', 'ENSG00000275168', 'ENSG00000274708', 'ENSG00000273929', 'ENSG00000278190', 'ENSG00000278411', 'ENSG00000278140', 'ENSG00000278747', 'ENSG00000274597', 'ENSG00000275671', 'ENSG00000277567', 'ENSG00000252379', 'ENSG00000278063', 'ENSG00000277091', 'ENSG00000275782', 'ENSG00000274623', 'ENSG00000262579', 'ENSG00000277642', 'ENSG00000273501', 'ENSG00000278036', 'ENSG00000273519', 'ENSG00000252239', 'ENSG00000274771', 'ENSG00000275304', 'ENSG00000275752', 'ENSG00000277419', 'ENSG00000277660', 'ENSG00000278296', 'ENSG00000276847', 'ENSG00000277262', 'ENSG00000261867', 'ENSG00000275809', 'ENSG00000273624', 'ENSG00000278101', 'ENSG00000278379', 'ENSG00000274323', 'ENSG00000277139', 'ENSG00000275889', 'ENSG00000276339', 'ENSG00000264025', 'ENSG00000266231', 'ENSG00000266435', 'ENSG00000275299', 'ENSG00000273938', 'ENSG00000251771', 'ENSG00000278515', 'ENSG00000277891', 'ENSG00000277546', 'ENSG00000264777', 'ENSG00000263701', 'ENSG00000263367', 'ENSG00000266660', 'ENSG00000266870', 'ENSG00000266626', 'ENSG00000266784', 'ENSG00000263638', 'ENSG00000265048', 'ENSG00000283300', 'ENSG00000263467', 'ENSG00000263896', 'ENSG00000265351', 'ENSG00000263937', 'ENSG00000265921', 'ENSG00000265409', 'ENSG00000263869', 'ENSG00000263598', 'ENSG00000263474', 'ENSG00000264185', 'ENSG00000264557', 'ENSG00000264951', 'ENSG00000265795', 'ENSG00000266886', 'ENSG00000264556', 'ENSG00000265920', 'ENSG00000266375', 'ENSG00000276183', 'ENSG00000288521', 'ENSG00000285386', 'ENSG00000277890', 'ENSG00000277927', 'ENSG00000276138', 'ENSG00000278188', 'ENSG00000277717', 'ENSG00000283527', 'ENSG00000283290', 'ENSG00000283564', 'ENSG00000274385', 'ENSG00000275174', 'ENSG00000283372', 'ENSG00000283249', 'ENSG00000283412', 'ENSG00000283489', 'ENSG00000283271', 'ENSG00000283666', 'ENSG00000283432', 'ENSG00000283499', 'ENSG00000283313', 'ENSG00000275068', 'ENSG00000283502', 'ENSG00000283418', 'ENSG00000278757', 'ENSG00000283414', 'ENSG00000283575', 'ENSG00000283369', 'ENSG00000283337', 'ENSG00000283136', 'ENSG00000283545', 'ENSG00000277613', 'ENSG00000283262', 'ENSG00000283256', 'ENSG00000283509', 'ENSG00000206625', 'ENSG00000199226'], 'U6-1': ['ENSG00000206625']}"
5,ENSG00000199453,1,['HTR2C'],1,['ENSG00000147246'],{'HTR2C': ['ENSG00000147246']}
6,ENSG00000199477,5,"['DNAJA2', 'SEMA3A', 'SNORA70F', 'SNORA74A', 'SNORD116-9']",7,"['ENSG00000069345', 'ENSG00000075213', 'ENSG00000206869', 'ENSG00000201376', 'ENSG00000200959', 'ENSG00000206727', 'ENSG00000207014']","{'DNAJA2': ['ENSG00000069345'], 'SEMA3A': ['ENSG00000075213'], 'SNORA70F': ['ENSG00000206869', 'ENSG00000201376'], 'SNORA74A': ['ENSG00000200959'], 'SNORD116-9': ['ENSG00000206727', 'ENSG00000207014']}"
7,ENSG00000199489,0,[],0,[],{}
8,ENSG00000199574,0,[],0,[],{}
9,ENSG00000199575,0,[],0,[],{}
10,ENSG00000199593,0,[],0,[],{}
11,ENSG00000199631,0,[],0,[],{}
12,ENSG00000199666,1,['SNORD3B-2'],1,['ENSG00000262074'],{'SNORD3B-2': ['ENSG00000262074']}
