ensembl_id	snoRNAs	Expression_level	Cancer	Bladder	Brain	Breast_aggressive	Breast_normal	Cervical	Colon	Gallbladder	Gastric	Hepatocellular	Leukemia	Lung	Myeloma	Osteosarcoma	Ovarian	Prostate	Renal	Reference
ENSG00000199477	SNORA31/ACA31/SNORA31A	Decreased	CLL/LGG	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9219770/ https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8215672/
ENSG00000199934/ENSG00000212278/ENSG00000202023	SNORD81	Decreased	LC	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7140444/
ENSG00000200279	SNORD114-10/14q(II-10)	Decreased	OC	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5769367/
ENSG00000200530	SNORD35B/RNU35B/U35B	Decreased	HNSCC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4436665/
ENSG00000200534	SNORA33	Decreased	NSCLC	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461500/
ENSG00000200608	SNORD114-11	Decreased	OC	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8677010/
ENSG00000200623	SNORD18A	Decreased	NSCLC	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461500/
ENSG00000200823	SNORD114-2	Decreased	OC	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8677010/
ENSG00000201264	SNORD73B	Decreased	NSCLC/LGG	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8677010/ https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8215672/
ENSG00000201785	SNORD117/U83	Decreased	PCa/ccRCC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4627319/ https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8658237/
ENSG00000201823	SNORD48/U48/RNU48	Decreased	BRCA/NSCLC	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3068486/ https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3832415/ https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7461500/
ENSG00000202400	SNORD82/RNU82/U82/Z25	Decreased	PCa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4627319/
ENSG00000206611	SNORD24/RNU24/U24	Decreased	ACC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	https://pubmed.ncbi.nlm.nih.gov/27753032/
